,film_id,title,release_year,rental_duration,rental_rate,length,replacement_cost,rating,special_features,language,amount,count_payment,category_count,actor_count
0,1,ACADEMY DINOSAUR,2006,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes",English             ,36.77,23,1,10.0
1,2,ACE GOLDFINGER,2006,3,4.99,48,12.99,G,"Trailers,Deleted Scenes",English             ,52.93,7,1,4.0
2,3,ADAPTATION HOLES,2006,7,2.99,50,18.99,NC-17,"Trailers,Deleted Scenes",English             ,37.88,12,1,5.0
3,4,AFFAIR PREJUDICE,2006,5,2.99,117,26.99,G,"Commentaries,Behind the Scenes",English             ,91.77,23,1,5.0
4,5,AFRICAN EGG,2006,6,2.99,130,22.99,G,Deleted Scenes,English             ,51.88,12,1,5.0
5,6,AGENT TRUMAN,2006,3,2.99,169,17.99,PG,Deleted Scenes,English             ,126.79,21,1,7.0
6,7,AIRPLANE SIERRA,2006,6,4.99,62,28.99,PG-13,"Trailers,Deleted Scenes",English             ,82.85,15,1,5.0
7,8,AIRPORT POLLOCK,2006,6,4.99,54,15.99,R,Trailers,English             ,102.82,18,1,4.0
8,9,ALABAMA DEVIL,2006,3,2.99,114,21.99,PG-13,"Trailers,Deleted Scenes",English             ,71.88,12,1,9.0
9,10,ALADDIN CALENDAR,2006,6,4.99,63,24.99,NC-17,"Trailers,Deleted Scenes",English             ,131.77,23,1,8.0
10,11,ALAMO VIDEOTAPE,2006,6,0.99,126,16.99,G,"Commentaries,Behind the Scenes",English             ,35.76,24,1,4.0
11,12,ALASKA PHANTOM,2006,6,0.99,136,22.99,PG,"Commentaries,Deleted Scenes",English             ,44.74,26,1,7.0
12,13,ALI FOREVER,2006,4,4.99,150,21.99,PG,"Deleted Scenes,Behind the Scenes",English             ,54.91,9,1,5.0
13,14,ALICE FANTASIA,2006,6,0.99,94,23.99,NC-17,"Trailers,Deleted Scenes,Behind the Scenes",English             ,,0,1,4.0
14,15,ALIEN CENTER,2006,5,2.99,46,10.99,NC-17,"Trailers,Commentaries,Behind the Scenes",English             ,90.78,22,1,6.0
15,16,ALLEY EVOLUTION,2006,6,2.99,180,23.99,NC-17,"Trailers,Commentaries",English             ,52.86,14,1,5.0
16,17,ALONE TRIP,2006,3,0.99,82,14.99,R,"Trailers,Behind the Scenes",English             ,62.82,18,1,8.0
17,18,ALTER VICTORY,2006,6,0.99,57,27.99,PG-13,"Trailers,Behind the Scenes",English             ,32.78,22,1,4.0
18,19,AMADEUS HOLY,2006,6,0.99,113,20.99,PG,"Commentaries,Deleted Scenes,Behind the Scenes",English             ,33.79,21,1,6.0
19,20,AMELIE HELLFIGHTERS,2006,4,4.99,79,23.99,R,"Commentaries,Deleted Scenes,Behind the Scenes",English             ,67.9,10,1,6.0
20,21,AMERICAN CIRCUS,2006,3,4.99,129,17.99,R,"Commentaries,Behind the Scenes",English             ,167.78,22,1,5.0
21,22,AMISTAD MIDSUMMER,2006,6,2.99,85,10.99,G,"Commentaries,Behind the Scenes",English             ,70.79,21,1,4.0
22,23,ANACONDA CONFESSIONS,2006,3,0.99,92,9.99,R,"Trailers,Deleted Scenes",English             ,60.79,21,1,5.0
23,24,ANALYZE HOOSIERS,2006,6,2.99,181,19.99,R,"Trailers,Behind the Scenes",English             ,55.86,14,1,5.0
24,25,ANGELS LIFE,2006,3,2.99,74,15.99,G,Trailers,English             ,119.78,22,1,9.0
25,26,ANNIE IDENTITY,2006,3,0.99,86,15.99,G,"Commentaries,Deleted Scenes",English             ,59.78,22,1,3.0
26,27,ANONYMOUS HUMAN,2006,7,0.99,179,12.99,NC-17,"Deleted Scenes,Behind the Scenes",English             ,17.87,13,1,9.0
27,28,ANTHEM LUKE,2006,5,4.99,91,16.99,PG-13,"Deleted Scenes,Behind the Scenes",English             ,85.85,15,1,2.0
28,29,ANTITRUST TOMATOES,2006,5,2.99,168,11.99,NC-17,"Trailers,Commentaries,Deleted Scenes",English             ,37.9,10,1,7.0
29,30,ANYTHING SAVANNAH,2006,4,2.99,82,27.99,R,"Trailers,Deleted Scenes,Behind the Scenes",English             ,46.91,9,1,3.0
30,31,APACHE DIVINE,2006,5,4.99,92,16.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes",English             ,178.69,31,1,4.0
